"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Characteristics:Назначение;Weight;Length;Width;Height;"SEO title";"SEO descr";"SEO keywords";"FB title";"FB descr";Url
934200032033;;СК002;;"Корзины;Для хранения вещей;Подарочные корзины;Пасхальные;Стильные плетеные аксессуары";"Круглая корзина Фрида";"Очаровательная и удобная корзинка.<br /><br /><strong>Размеры</strong>: диаметр 26 см, высота 15 см. <br /><strong>Материал</strong>: цельный ивовый прут.<br /><br />Без обшива";"<strong>Размеры</strong>: диаметр 26 см, высота 15 см.<strong><br />Материал</strong>: цельный ивовый прут.";https://static.tildacdn.com/tild6163-6133-4239-b930-366163613430/IMG_20190121_204930_.jpg;1990.00;;;;;GUKHV9tLz1gZztl96P6a;;;0;0;0;150;"Круглая плетеная корзина с обшивом";;;;;https://uralbasket.ru/baskets/tproduct/777339253-934200032033-kruglaya-korzina-frida
345779171481;;B001;;"Для хранения вещей;Бельевые корзины;Сундуки и короба";"Плетеный короб Моряк";"<strong>Размеры</strong>: 37х31 см, высота 32 см";"<div style=""font-size:18px;"" data-customstyle=""yes"">Отличный вариант для ванной или гостиной: оплетенные канатные ручки смотрятся стильно, размер — универсальный!<br /><br /><strong>Размеры</strong>: 37х31 см, высота 32 см<br /><strong>Материал</strong>: цельный ивовый прут, фанерное дно.</div>";"https://static.tildacdn.com/tild3935-6232-4630-b033-613764666361/IMG_20190608_101035.jpg https://static.tildacdn.com/tild3631-6434-4439-b239-643639323532/IMG_20190608_100950.jpg";2890.00;;;;;puJkI5dK7MUniRkN5slt;;;0;370;310;320;"Плетеный короб для вещей";"Корзина ручной работы из лозы для белья и вещей";;;;https://uralbasket.ru/cardtest/tproduct/579627645-345779171481-pletenii-korob-moryak
393760775080;;OK001;;"Корзины;Пикниковые корзины;Подарочные корзины;Пасхальные";"Большая овальная корзина Полли";"Вместительная корзина с праздничным обшивом.<br /><br /><strong>Размеры</strong>: 44х27 см, высота 15 см<br /><strong>Материал</strong>: цельный ивовый прут.<br /><br />С обшивом / Без обшива";"Вместительная корзина с праздничным обшивом.<br /><br /><strong>Размеры</strong>: 47х27 см, высота 15 см<br /><strong>Материал</strong>: цельный ивовый прут.";"https://static.tildacdn.com/tild6535-6165-4362-a336-613365346333/IMG_20190121_204339_.jpg https://static.tildacdn.com/tild3663-6139-4665-b131-616561366237/IMG_20190121_205227_.jpg";2600.00;;;;;acN7yleU2yg6AtB7sF0f;;;0;470;270;150;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-393760775080-bolshaya-ovalnaya-korzina-polli
526676156418;;СК001;;"Корзины;Пикниковые корзины;Подарочные корзины;Стильные плетеные аксессуары";"Плетеная круглая корзина Ариана";"Вместительная круглая корзина с роскошной плетеной косой. Идеально подойдет для рукоделия или в подарок.<br /><br />Размеры: диаметр низа 25 см, верх - 36 см, высота без ручки 21 см.<br />Материал: цельный ивовый прут.";"Вместительная круглая корзина с роскошной плетеной косой. Идеально подойдет для рукоделия или в подарок.<br /><br /><strong>Размеры</strong>: диаметр низа 25 см, верх - 36 см, высота без ручки 21 см.<br /><strong>Материал</strong>: цельный ивовый прут.";"https://static.tildacdn.com/tild6334-3761-4563-b666-363261626461/IMG_20190601_145709.jpg https://static.tildacdn.com/tild6465-3939-4663-b839-376132653563/IMG_20190601_150008.jpg";2430.00;;;;;TJFdDP7K23BovVNG0RFp;;;0;0;0;0;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-526676156418-pletenaya-kruglaya-korzina-ariana
340634383007;;OK002;;"Корзины;Хозяйственные корзины;Для дома и дачи;Для активного отдыха";"Корзина Виктория";"Большая высокая корзина. <br /><br />Размеры: низ 23х31 см, верх 35х47 см, высота 28 см.<br />Материал: цельный ивовый прут.";"Высокая овальная корзина, идеально подходящая для тех, кто собирает большой урожай или знает грибные места ;) <br /><br /><strong>Размеры</strong>: низ 23х31 см, верх 35х47 см, высота 28 см.<br /><strong>Материал</strong>: цельный ивовый прут.<br /><br /><br />";"https://static.tildacdn.com/tild6236-6230-4436-b932-336338663461/2.jpg https://static.tildacdn.com/tild6430-3762-4236-b264-353861666364/1.jpg";2600.00;;;;;DOAyVkZnlioJDyYlYnfl;;;0;0;0;280;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-340634383007-korzina-viktoriya
557923373361;;OK003;;"Корзины;Хозяйственные корзины;Пикниковые корзины;Для активного отдыха";"Корзина Чарли";"Вместительная корзина среднего размера. <br /><br />Размеры: низ 31х23 см, верх 41х33 см, высота 18 см.<br />Материал: цельный ивовый прут.<br />";"Вместительная корзина среднего размера. Вы удивитесь, сколько сюда может поместиться грибов или яблок! <br /><br /><strong>Размеры</strong>: низ 31х23 см, верх 41х33 см, высота 18 см.<br /><strong>Материал</strong>: цельный ивовый прут.";"https://static.tildacdn.com/tild6336-3939-4462-a262-633461396162/2.jpg https://static.tildacdn.com/tild3465-3933-4362-b861-393963613837/1.jpg";2050.00;;;;;63usYKddUCv50gldnOx2;;;0;0;0;180;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-557923373361-korzina-charli
666702314098;;OK004;;"Корзины;Хозяйственные корзины;Для дома и дачи;Для активного отдыха";"Корзина Дачная";"Большая корзина для грибов или урожая. <br /><br />Размеры: дно 30х20 см. Верх 44х33 см. Высота 24 см.<br />Материал: цельный ивовый прут.";"Большая корзина для грибов или урожая. Идеальна для походов в лес и поездок на дачу. <br /><br /><strong>Размеры</strong>: дно 30х20 см. Верх 44х33 см. Высота 24 см.<br /><strong>Материал</strong>: цельный ивовый прут.";"https://static.tildacdn.com/tild6566-6638-4532-b036-363531373933/2.jpg https://static.tildacdn.com/tild3963-6238-4262-a232-303736303864/1.jpg";2340.00;;;;;jBi6JRPJImMSYaT5sIDF;;;0;0;0;240;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-666702314098-korzina-dachnaya
884062203813;;P001;;"Корзины;Подарочные корзины;Стильные плетеные аксессуары;Необычные для интерьера";"Корзина подарочная Лодка";"Идеальная корзина, чтобы наполнить её подарками для друзей, коллег и не только ;) <br /><br />Размеры: дно 20х30 см, высота без ручки 10-15 см.<br />Материалы: цельный ивовый прут, фанерное дно.";"Идеальная корзина, чтобы наполнить её подарками для друзей, коллег и не только ;)<br /><br /><strong>Размеры</strong>: дно 20х30 см, высота без ручки 10-15 см.<br /><strong>Материалы</strong>: цельный ивовый прут, фанерное дно.";"https://static.tildacdn.com/tild3064-6536-4865-b032-623633366563/photo.jpg https://static.tildacdn.com/tild3933-3836-4663-a266-356361396634/2.jpg";999.00;;;;;5THfcodYZ2IZzZcTId4s;;;0;0;0;0;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-884062203813-korzina-podarochnaya-lodka
857295794393;;CK004;;"Корзины;Для хранения вещей;Хозяйственные корзины;Стильные плетеные аксессуары";"Домашняя корзина Бриджит";"Бонбоньерка с крышкой для дома или дачи: вместительная и красивая.<br /><br /><strong>Размеры: </strong>диаметр низа 24 см, диаметр верха 28 см, высота 24 см.<br /><strong>Материал</strong><span class=""redactor-invisible-space"">: цельный ивовый прут. <br /></span>";"Бонбоньерка с крышкой для дома или дачи: вместительная и красивая. <br /><br /><strong>Размеры:</strong> диаметр низа 24 см, диаметр верха 28 см, высота 24 см.<br /><strong>Материал</strong>: цельный ивовый прут.";"https://static.tildacdn.com/tild3134-3161-4465-a631-633833303739/IMG_20190714_1303091.jpg https://static.tildacdn.com/tild6637-3033-4164-b162-353339626132/IMG_20190714_1302391.jpg";2950.00;;;;;I4rO4KztsvV07afLBBpe;;;0;0;0;0;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-857295794393-domashnyaya-korzina-bridzhit
526257635712;;КК001;"В наличии";"Корзины;Пикниковые корзины;Для хранения вещей;Стильные плетеные аксессуары";"Корзина Шарлотта";"Высокая корзина с круглой крышкой на ремешках. <br /><br />Размеры: диаметр дна 19 см, диаметр верха 25 см, высота 35 см.<br />Материал: цельный ивовый прут. <br />";"Высокая корзина с круглой крышкой на ремешках.<br /><strong>Размеры:</strong> диаметр дна 19 см, диаметр верха 25 см, высота 35 см.<br /><strong>Материал</strong>: цельный ивовый прут.<br /><br />Подойдет для прогулок, пикников и шоппинга. Одновременно вместительная и изящная. С такой корзиной вам гарантировано повышенное внимание окружающих ;)";"https://static.tildacdn.com/tild6439-3266-4463-a432-666236666631/photo532103736288252.jpg https://static.tildacdn.com/tild6439-3534-4234-a666-323935663032/photo532352443241474.jpg";3550.00;;;;;9a2A9jiDE8ZMMT5JmK76;;;0;0;0;350;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-526257635712-korzina-sharlotta
